country,year,lgdppc_MA15,hdd20_TINV_GMFD,cdd20_TINV_GMFD,gpid,tpid,tgpid,largegpid_electricity,largegpid_other_energy,cyear,pyear,p80yr,avgCDD_tpid,avgHDD_tpid,avgInc_tgpid,avgInc_tpid,maxInc_gpid,maxInc_largegpid_other_energy,maxInc_largegpid_electricity
AGO,1971,8.334811470844418,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,0.0,20.0,9.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1972,8.326835316195433,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,1.0,19.0,8.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1973,8.31885916154645,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,2.0,18.0,7.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1974,8.314196527786253,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,3.0,17.0,6.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1975,8.304991372234985,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,4.0,16.0,5.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1976,8.293142931006326,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,5.0,15.0,4.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1977,8.272871570516802,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,6.0,14.0,3.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1978,8.252853617811661,437.9091003715992,1314.283127784729,4.0,2.0,2.0,1.0,2.0,7.0,13.0,2.0,1115.5258,1178.0726,8.770168,8.433241,8.474984,12.413789,9.08701
AGO,1979,8.234237243360107,437.9091003715992,1314.283127784729,4.0,2.0,1.0,1.0,2.0,8.0,12.0,1.0,1115.5258,1178.0726,7.497846,8.433241,8.474984,12.413789,9.08701
AGO,1980,8.215697505731718,437.9091003715992,1314.283127784729,4.0,2.0,1.0,1.0,2.0,9.0,11.0,0.0,1115.5258,1178.0726,7.497846,8.433241,8.474984,12.413789,9.08701
AGO,1981,8.197108281781148,437.9091003715992,1314.283127784729,4.0,2.0,1.0,1.0,2.0,10.0,10.0,1.0,1115.5258,1178.0726,7.497846,8.433241,8.474984,12.413789,9.08701
AGO,1982,8.173745020294387,437.9091003715992,1314.283127784729,4.0,2.0,1.0,1.0,2.0,11.0,9.0,2.0,1115.5258,1178.0726,7.497846,8.433241,8.474984,12.413789,9.08701
AGO,1983,8.148525417354104,437.9091003715992,1314.283127784729,4.0,2.0,1.0,1.0,2.0,12.0,8.0,3.0,1115.5258,1178.0726,7.497846,8.433241,8.474984,12.413789,9.08701
AGO,1984,8.124212307242518,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,13.0,7.0,4.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1985,8.102005869739141,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,14.0,6.0,5.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1986,8.080549805214917,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,15.0,5.0,6.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1987,8.059628676306863,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,16.0,4.0,7.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1988,8.04254013283818,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,17.0,3.0,8.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1989,8.02465203071329,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,18.0,2.0,9.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1990,8.010413047763013,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,19.0,1.0,10.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1991,7.997262055920386,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,20.0,0.0,11.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1992,7.990256790806594,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,21.0,1.0,12.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1993,7.976588197921985,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,22.0,2.0,13.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1994,7.940926253747629,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,23.0,3.0,14.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1995,7.905868688463773,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,24.0,4.0,15.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1996,7.875968750293909,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,25.0,5.0,16.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1997,7.8564785364053655,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,26.0,6.0,17.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1998,7.8426390401852775,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,27.0,7.0,18.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,1999,7.83095366915183,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,28.0,8.0,19.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2000,7.817919590748071,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,29.0,9.0,20.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2001,7.804589555652401,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,30.0,10.0,21.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2002,7.79182583263095,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,31.0,11.0,22.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2003,7.782074611923874,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,32.0,12.0,23.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2004,7.771390425518788,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,33.0,13.0,24.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2005,7.766632619223326,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,34.0,14.0,25.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2006,7.7728277953184355,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,35.0,15.0,26.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2007,7.792087085344722,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,36.0,16.0,27.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2008,7.829611400927626,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,37.0,17.0,28.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2009,7.894630143180468,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,38.0,18.0,29.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
AGO,2010,7.958843411289499,437.9091003715992,1314.283127784729,3.0,2.0,1.0,1.0,2.0,39.0,19.0,30.0,1115.5258,1178.0726,7.497846,8.433241,8.136098,12.413789,9.08701
ALB,1986,8.294366697675445,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,15.0,5.0,6.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1987,8.311449448266961,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,16.0,4.0,7.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1988,8.325163455182274,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,17.0,3.0,8.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1989,8.332654319728077,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,18.0,2.0,9.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1990,8.342440681105865,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,19.0,1.0,10.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1991,8.343450565310023,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,20.0,0.0,11.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1992,8.318725191018462,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,21.0,1.0,12.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1993,8.287694110818496,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,22.0,2.0,13.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1994,8.261866992015444,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,23.0,3.0,14.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,1995,8.240973421417973,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,24.0,4.0,15.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,1996,8.22894871393052,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,25.0,5.0,16.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,1997,8.220895913896868,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,26.0,6.0,17.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,1998,8.204911433925963,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,27.0,7.0,18.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,1999,8.195781472391745,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,28.0,8.0,19.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,2000,8.197771641788744,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,29.0,9.0,20.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,2001,8.204904597528534,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,30.0,10.0,21.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,2002,8.215213997394637,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,31.0,11.0,22.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,2003,8.23035110361046,2922.2607137441637,397.10859327316314,4.0,3.0,1.0,1.0,2.0,32.0,12.0,23.0,223.83598,3925.804,7.497846,9.392602,8.474984,12.413789,9.08701
ALB,2004,8.251722970390434,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,33.0,13.0,24.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,2005,8.272623920731412,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,34.0,14.0,25.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,2006,8.305584760339721,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,35.0,15.0,26.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,2007,8.365554541916598,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,36.0,16.0,27.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,2008,8.434355000602539,2922.2607137441637,397.10859327316314,4.0,3.0,2.0,1.0,2.0,37.0,17.0,28.0,223.83598,3925.804,8.770168,9.392602,8.474984,12.413789,9.08701
ALB,2009,8.501922560139846,2922.2607137441637,397.10859327316314,5.0,3.0,2.0,1.0,2.0,38.0,18.0,29.0,223.83598,3925.804,8.770168,9.392602,8.776416,12.413789,9.08701
ALB,2010,8.566356403919887,2922.2607137441637,397.10859327316314,5.0,3.0,2.0,1.0,2.0,39.0,19.0,30.0,223.83598,3925.804,8.770168,9.392602,8.776416,12.413789,9.08701
ALB,1971,7.935560203615273,2922.2607137441637,397.10859327316314,3.0,3.0,1.0,1.0,2.0,0.0,20.0,9.0,223.83598,3925.804,7.497846,9.392602,8.136098,12.413789,9.08701
ALB,1972,7.958777013772667,2922.2607137441637,397.10859327316314,3.0,3.0,1.0,1.0,2.0,1.0,19.0,8.0,223.83598,3925.804,7.497846,9.392602,8.136098,12.413789,9.08701
